content_id,client_id,baseline_score,reason_code,action_label,impressions_90d,avg_position,content_age_days,is_declining_label
content_20e876d26019,client_7f2253d7e2,59949,stale_and_slipping,1,59949,27.3,224,1
content_1f3b8e699416,client_4e07408562,59474,stale_and_slipping,1,59474,35.2,445,0
content_7368877ea310,client_7f2253d7e2,59472,stale_and_slipping,1,59472,24.8,231,1
content_2464e067f604,client_6208ef0f77,58294,stale_and_slipping,1,58294,27.2,287,0
content_884004792611,client_6208ef0f77,58184,stale_and_slipping,1,58184,21.0,286,0
content_90bb37b53856,client_6208ef0f77,56313,stale_and_slipping,1,56313,32.5,229,0
content_12008fddfdbf,client_6208ef0f77,55074,stale_and_slipping,1,55074,36.0,300,1
content_94058fab0b5b,client_6208ef0f77,54754,stale_and_slipping,1,54754,38.4,299,1
content_72cbc0925ce1,client_6208ef0f77,53894,stale_and_slipping,1,53894,36.9,299,1
content_4512e0545a22,client_6208ef0f77,52739,stale_and_slipping,1,52739,29.1,211,0
content_8604f4cf3330,client_6208ef0f77,52694,stale_and_slipping,1,52694,32.8,236,0
content_7eb8628819c5,client_6208ef0f77,52544,stale_and_slipping,1,52544,25.8,299,1
content_93a2b2c62298,client_4e07408562,51945,stale_and_slipping,1,51945,24.1,445,0
content_797b5d26b5ac,client_6208ef0f77,51939,stale_and_slipping,1,51939,17.7,287,0
content_c4bbb26dde65,client_6208ef0f77,51781,stale_and_slipping,1,51781,23.6,300,1
content_ca107f4ead6c,client_6208ef0f77,51402,stale_and_slipping,1,51402,16.3,287,0
content_001ae9124afc,client_6208ef0f77,51143,stale_and_slipping,1,51143,23.7,307,1
content_6806bea1b354,client_6208ef0f77,50919,stale_and_slipping,1,50919,12.2,216,1
content_59ae69c1396f,client_4e07408562,50865,stale_and_slipping,1,50865,28.4,445,0
content_512fdd72fd99,client_6208ef0f77,50854,stale_and_slipping,1,50854,35.3,216,1
content_f85c5ae54045,client_6208ef0f77,50609,stale_and_slipping,1,50609,28.1,211,0
content_5daaf566b54c,client_6208ef0f77,50013,stale_and_slipping,1,50013,26.0,286,1
content_b4a088e86923,client_6208ef0f77,49829,stale_and_slipping,1,49829,17.8,299,1
content_9f136bc92d42,client_6208ef0f77,49404,stale_and_slipping,1,49404,25.3,299,0
content_5096a9d25fe5,client_6208ef0f77,49158,stale_and_slipping,1,49158,46.6,300,1
content_69be0182f4d8,client_4e07408562,48819,stale_and_slipping,1,48819,34.7,445,1
content_4c8ea2454a36,client_6208ef0f77,48089,stale_and_slipping,1,48089,38.5,223,1
content_f5b33c763668,client_6208ef0f77,47686,stale_and_slipping,1,47686,29.6,223,0
content_3fa23f876da6,client_6208ef0f77,47575,stale_and_slipping,1,47575,29.9,299,0
content_919827b5860a,client_6208ef0f77,47218,stale_and_slipping,1,47218,27.2,229,0
content_18551bcf7c04,client_6208ef0f77,46872,stale_and_slipping,1,46872,24.5,223,0
content_69b51727a5ce,client_6208ef0f77,46685,stale_and_slipping,1,46685,30.1,223,1
content_3e1e6946d029,client_6208ef0f77,46327,stale_and_slipping,1,46327,24.6,300,0
content_ef7f2e6f7926,client_6208ef0f77,45954,stale_and_slipping,1,45954,36.3,236,1
content_8e7b754257df,client_6208ef0f77,45914,stale_and_slipping,1,45914,35.8,286,1
content_7bc50b5367cb,client_6208ef0f77,45913,stale_and_slipping,1,45913,23.7,286,1
content_eefb74cc9a8e,client_6208ef0f77,45465,stale_and_slipping,1,45465,36.0,236,0
content_7288b75deccf,client_6208ef0f77,45365,stale_and_slipping,1,45365,16.6,216,0
content_1caa959588a1,client_6208ef0f77,44976,stale_and_slipping,1,44976,30.3,211,1
content_2d82da2bbaab,client_6208ef0f77,43837,stale_and_slipping,1,43837,33.3,216,0
content_344ddf4c03d6,client_4e07408562,43817,stale_and_slipping,1,43817,13.7,445,0
content_ccaae106ecb6,client_6208ef0f77,43654,stale_and_slipping,1,43654,36.6,216,0
content_2333ccd359f7,client_7f2253d7e2,43280,stale_and_slipping,1,43280,21.3,224,1
content_53fb580be607,client_3fdba35f04,43211,stale_and_slipping,1,43211,12.7,333,1
content_42634cb0c5a3,client_6208ef0f77,43175,stale_and_slipping,1,43175,18.8,229,1
content_3d84a9674d44,client_6208ef0f77,42924,stale_and_slipping,1,42924,15.3,229,0
content_7d1c7098f406,client_6208ef0f77,42765,stale_and_slipping,1,42765,28.5,236,0
content_8e53acb6a426,client_6208ef0f77,42694,stale_and_slipping,1,42694,25.1,229,0
content_a69aa1264065,client_6208ef0f77,42531,stale_and_slipping,1,42531,37.3,229,0
content_617c14bb6cfa,client_4e07408562,41670,stale_and_slipping,1,41670,11.2,445,1
content_cacc4305a8b7,client_6208ef0f77,41576,stale_and_slipping,1,41576,26.2,300,0
content_015999a39e9f,client_6208ef0f77,41381,stale_and_slipping,1,41381,40.5,299,1
content_2e3e0025b445,client_6208ef0f77,41112,stale_and_slipping,1,41112,24.1,216,0
content_4a50087c06cb,client_6208ef0f77,40971,stale_and_slipping,1,40971,47.1,286,1
content_c42063d73de6,client_6208ef0f77,40828,stale_and_slipping,1,40828,16.3,216,0
content_29c0b99ed170,client_6208ef0f77,40577,stale_and_slipping,1,40577,20.0,216,0
content_094dcee5faad,client_6208ef0f77,40521,stale_and_slipping,1,40521,32.7,211,1
content_ac9760003d70,client_6208ef0f77,40445,stale_and_slipping,1,40445,15.7,211,0
content_6882583fb48d,client_4e07408562,40243,stale_and_slipping,1,40243,14.4,326,0
content_40562a769116,client_6208ef0f77,40198,stale_and_slipping,1,40198,29.7,300,0
content_341b1ecdea85,client_7f2253d7e2,39876,stale_and_slipping,1,39876,24.2,224,1
content_180bbd158afb,client_6208ef0f77,39825,stale_and_slipping,1,39825,14.2,299,1
content_f43d175de7d4,client_6208ef0f77,39456,stale_and_slipping,1,39456,28.0,211,1
content_5b6c56b45cda,client_6208ef0f77,38869,stale_and_slipping,1,38869,29.1,299,1
content_819ff609e734,client_7f2253d7e2,38847,stale_and_slipping,1,38847,16.5,224,1
content_ea379287633b,client_6208ef0f77,38542,stale_and_slipping,1,38542,33.4,299,1
content_7a8be058989d,client_6208ef0f77,38253,stale_and_slipping,1,38253,40.9,223,0
content_4748cd2c2a0a,client_6208ef0f77,38089,stale_and_slipping,1,38089,17.7,236,1
content_0b3ba47cf4c5,client_6208ef0f77,37961,stale_and_slipping,1,37961,24.5,287,1
content_72acf95b21ff,client_6208ef0f77,37810,stale_and_slipping,1,37810,33.0,229,1
content_d17baf9465a0,client_6208ef0f77,37777,stale_and_slipping,1,37777,29.3,300,1
content_147ae2b19152,client_6208ef0f77,37755,stale_and_slipping,1,37755,19.7,229,0
content_36660b667518,client_6208ef0f77,37641,stale_and_slipping,1,37641,17.3,287,1
content_e04f657e2abd,client_4e07408562,37432,stale_and_slipping,1,37432,11.8,487,0
content_c47e82e01e20,client_4e07408562,37344,stale_and_slipping,1,37344,11.4,445,1
content_743d78554774,client_3fdba35f04,37269,stale_and_slipping,1,37269,13.8,333,1
content_003e0d52bd3d,client_6208ef0f77,37122,stale_and_slipping,1,37122,19.4,216,0
content_bc2e56afbd49,client_6208ef0f77,36951,stale_and_slipping,1,36951,22.2,299,1
content_e52b5c16d53e,client_6208ef0f77,36916,stale_and_slipping,1,36916,21.1,286,1
content_5347b1aee67d,client_6208ef0f77,36758,stale_and_slipping,1,36758,26.8,229,0
content_74cb5a290484,client_6208ef0f77,36388,stale_and_slipping,1,36388,36.3,287,1
content_5ae19b72b43c,client_6208ef0f77,36244,stale_and_slipping,1,36244,40.2,216,1
